resource_id,name,description,category,subcategory,tags,relevance_score
51,Skill Assessment Resource 51,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",1.27
52,Savings Plans Resource 52,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",3.89
53,Coding Bootcamps Resource 53,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",1.4
54,Investments Resource 54,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",0.57
55,Job Search Resource 55,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",1.26
56,Resume Building Resource 56,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",0.6
57,Online Courses Resource 57,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.73
58,Diet Plans Resource 58,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",2.67
59,Investments Resource 59,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",0.65
60,Mental Health Resource 60,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.67
61,Fitness Programs Resource 61,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",0.88
62,Tech News Resource 62,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",0.89
63,Fitness Programs Resource 63,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",3.42
64,Workshops Resource 64,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.15
65,Gadgets Resource 65,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",2.55
66,Online Courses Resource 66,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",3.3
67,Skill Assessment Resource 67,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",4.78
68,Coding Bootcamps Resource 68,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",2.74
69,Scholarships Resource 69,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",3.4
70,Online Courses Resource 70,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",2.17
71,Gadgets Resource 71,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",3.15
72,Mental Health Resource 72,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.3
73,Savings Plans Resource 73,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.11
74,Investments Resource 74,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",2.99
75,Gadgets Resource 75,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",3.44
76,Workshops Resource 76,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",3.44
77,Investments Resource 77,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",3.76
78,Resume Building Resource 78,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",3.29
79,Online Courses Resource 79,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.75
80,Mental Health Resource 80,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",4.79
81,Budgeting Resource 81,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.55
82,Scholarships Resource 82,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",0.81
83,Skill Assessment Resource 83,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",4.16
84,Scholarships Resource 84,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",2.76
85,Scholarships Resource 85,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",3.06
86,Mental Health Resource 86,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.81
87,Fitness Programs Resource 87,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",4.95
88,Gadgets Resource 88,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",0.88
89,Budgeting Resource 89,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",0.86
90,Gadgets Resource 90,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",4.52
91,Investments Resource 91,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",0.8
92,Mental Health Resource 92,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",4.44
93,Fitness Programs Resource 93,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",3.73
94,Job Search Resource 94,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.15
95,Diet Plans Resource 95,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",1.06
96,Fitness Programs Resource 96,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",2.42
97,Workshops Resource 97,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",1.81
98,Job Search Resource 98,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.55
99,Mental Health Resource 99,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",1.07
100,Job Search Resource 100,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",4.84
101,Savings Plans Resource 101,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.27
102,Gadgets Resource 102,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",4.53
103,Fitness Programs Resource 103,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",1.42
104,Fitness Programs Resource 104,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",3.55
105,Mental Health Resource 105,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",1.25
106,Workshops Resource 106,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.61
107,Skill Assessment Resource 107,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",0.96
108,Workshops Resource 108,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",2.87
109,Scholarships Resource 109,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",2.21
110,Investments Resource 110,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",0.55
111,Coding Bootcamps Resource 111,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",3.03
112,Mental Health Resource 112,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",4.29
113,Resume Building Resource 113,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",4.28
114,Workshops Resource 114,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",0.99
115,Diet Plans Resource 115,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",1.05
116,Skill Assessment Resource 116,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",2.76
117,Job Search Resource 117,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",0.91
118,Tech News Resource 118,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.12
119,Resume Building Resource 119,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.85
120,Resume Building Resource 120,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",2.16
121,Savings Plans Resource 121,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",3.58
122,Gadgets Resource 122,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",2.48
123,Diet Plans Resource 123,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",4.68
124,Budgeting Resource 124,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",2.53
125,Diet Plans Resource 125,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",1.43
126,Fitness Programs Resource 126,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",1.33
127,Mental Health Resource 127,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",2.41
128,Job Search Resource 128,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",2.22
129,Budgeting Resource 129,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",4.93
130,Skill Assessment Resource 130,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",3.77
131,Mental Health Resource 131,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.18
132,Scholarships Resource 132,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",0.67
133,Skill Assessment Resource 133,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",1.68
134,Budgeting Resource 134,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.28
135,Tech News Resource 135,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.46
136,Workshops Resource 136,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.78
137,Coding Bootcamps Resource 137,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",2.69
138,Investments Resource 138,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",3.99
139,Diet Plans Resource 139,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",4.63
140,Workshops Resource 140,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.61
141,Online Courses Resource 141,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",1.73
142,Tech News Resource 142,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",3.92
143,Online Courses Resource 143,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",0.61
144,Tech News Resource 144,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",2.29
145,Resume Building Resource 145,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",2.9
146,Budgeting Resource 146,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",1.59
147,Budgeting Resource 147,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",0.53
148,Coding Bootcamps Resource 148,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",3.34
149,Diet Plans Resource 149,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",4.18
150,Tech News Resource 150,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.27
151,Online Courses Resource 151,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",1.23
152,Skill Assessment Resource 152,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",2.66
153,Workshops Resource 153,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",3.32
154,Fitness Programs Resource 154,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",2.13
155,Savings Plans Resource 155,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",4.2
156,Coding Bootcamps Resource 156,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",3.26
157,Investments Resource 157,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",3.68
158,Coding Bootcamps Resource 158,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",2.6
159,Resume Building Resource 159,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.28
160,Online Courses Resource 160,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.76
161,Savings Plans Resource 161,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.56
162,Workshops Resource 162,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",0.82
163,Gadgets Resource 163,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",2.69
164,Savings Plans Resource 164,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",3.86
165,Diet Plans Resource 165,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",1.76
166,Gadgets Resource 166,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",4.09
167,Diet Plans Resource 167,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",3.59
168,Diet Plans Resource 168,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",4.6
169,Scholarships Resource 169,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",2.91
170,Tech News Resource 170,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.37
171,Resume Building Resource 171,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",0.51
172,Coding Bootcamps Resource 172,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",0.5
173,Tech News Resource 173,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",0.89
174,Resume Building Resource 174,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",4.52
175,Gadgets Resource 175,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",1.13
176,Online Courses Resource 176,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",2.39
177,Gadgets Resource 177,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",3.92
178,Skill Assessment Resource 178,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",3.33
179,Skill Assessment Resource 179,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",0.69
180,Savings Plans Resource 180,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",3.34
181,Mental Health Resource 181,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.69
182,Online Courses Resource 182,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",1.94
183,Skill Assessment Resource 183,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",0.74
184,Online Courses Resource 184,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",0.85
185,Workshops Resource 185,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",0.65
186,Mental Health Resource 186,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",4.29
187,Fitness Programs Resource 187,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",0.9
188,Investments Resource 188,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",4.58
189,Scholarships Resource 189,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",2.85
190,Resume Building Resource 190,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",4.67
191,Skill Assessment Resource 191,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",3.09
192,Tech News Resource 192,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",0.53
193,Coding Bootcamps Resource 193,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",4.24
194,Mental Health Resource 194,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",0.85
195,Resume Building Resource 195,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",3.18
196,Diet Plans Resource 196,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",3.95
197,Workshops Resource 197,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",0.99
198,Mental Health Resource 198,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",2.63
199,Online Courses Resource 199,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",1.14
200,Workshops Resource 200,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",2.37
201,Workshops Resource 201,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",2.41
202,Tech News Resource 202,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",1.07
203,Diet Plans Resource 203,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",0.54
204,Diet Plans Resource 204,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",2.78
205,Investments Resource 205,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",2.9
206,Job Search Resource 206,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.03
207,Mental Health Resource 207,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.93
208,Online Courses Resource 208,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",3.18
209,Resume Building Resource 209,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",2.92
210,Budgeting Resource 210,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",4.93
211,Workshops Resource 211,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",4.4
212,Coding Bootcamps Resource 212,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",2.38
213,Mental Health Resource 213,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",0.69
214,Fitness Programs Resource 214,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",0.52
215,Resume Building Resource 215,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",3.93
216,Fitness Programs Resource 216,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",4.59
217,Gadgets Resource 217,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",4.41
218,Job Search Resource 218,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.82
219,Scholarships Resource 219,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",3.45
220,Coding Bootcamps Resource 220,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",1.92
221,Tech News Resource 221,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",0.51
222,Workshops Resource 222,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",3.46
223,Resume Building Resource 223,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",4.25
224,Scholarships Resource 224,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",1.54
225,Fitness Programs Resource 225,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",4.55
226,Online Courses Resource 226,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.17
227,Workshops Resource 227,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",1.22
228,Budgeting Resource 228,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",4.95
229,Budgeting Resource 229,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",2.09
230,Savings Plans Resource 230,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",2.68
231,Savings Plans Resource 231,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",0.83
232,Gadgets Resource 232,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",2.83
233,Savings Plans Resource 233,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",1.86
234,Gadgets Resource 234,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",3.01
235,Job Search Resource 235,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.58
236,Budgeting Resource 236,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",2.98
237,Gadgets Resource 237,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",1.39
238,Fitness Programs Resource 238,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",1.62
